指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年
豆类产量(万吨),2351.03,1965.52,2287.46,2131.9,1920.27,1841.56,1650.66,1512.52,1564.52,1542.4,1680.64,1863.3,1871.84,1904.59,2021.86,1709.13,2003.72,2157.67,2232.07,2127.51,2241.22,2052.81,2010,1893.96,2000.6,1875.5,1790.3,1787.5,2095.6,1950.4,1252,1247.1,
绿豆产量(万吨),,,,,68.11,65.06,56.49,52.38,49.81,55.04,66.57,75.32,74.67,71.55,83.64,78.54,70.99,100.54,79.13,118.45,119,,,,,,,,,,,,
红小豆产量(万吨),,,,,27.79,36,27.54,17.57,19.03,18.51,19.3,24.81,21.97,22.98,28.08,27.59,36.46,35.33,30.03,33.6,38.36,,,,,,,,,,,,
大豆产量(万吨),2028.35,1639.54,1960.18,1809.18,1596.71,1528.25,1359.55,1236.74,1268.57,1240.71,1343.59,1487.85,1540.99,1522.42,1570.9,1279.34,1508.18,1634.78,1740.15,1539.32,1650.54,1540.56,1540.9,1424.53,1515.18,1473.15,1322.42,1350.2,1599.9,1530.7,1030.4,971.3,1100
薯类产量(万吨),2977.39,3043.54,2987.41,2882.72,2865.37,2798.62,2726.32,2729.35,2798.76,2855.45,2882.96,2924.3,2842.72,2792.92,2842.98,2741.76,2701.26,3468.51,3557.67,3513.27,3665.87,3563.07,3685.16,3640.56,3604.21,3192.29,3536.03,3262.6,3025.4,3181.1,2844.2,2715.9,2743.26
马铃薯产量(万吨),,,,,1798.37,1769.63,1698.57,1645.33,1683.11,1717.59,1687.17,1631.46,1530.63,1396.69,1371.47,1275.46,1289.73,1417.39,1444.14,1361.89,1403.75,1291.31,1325.5,1122.08,1125.16,992.33,1060.84,914.4,875.91,920.8,759,608.1,648.4
棉花产量(万吨),598.02,573.09,591.05,588.9,610.28,565.25,534.28,590.74,629.94,628.16,660.8,651.89,577.04,623.58,723.23,759.71,753.28,571.42,632.35,485.97,491.62,532.35,441.73,382.88,450.1,460.27,420.33,476.75,434.1,373.93,450.84,567.5,450.77
油料产量(万吨),3654.21,3613.17,3586.4,3492.98,3433.39,3475.24,3400.05,3390.47,3371.92,3348,3285.62,3212.51,3156.77,3139.42,3036.76,2786.99,2640.31,3077.14,3065.91,2811,2897.2,2864.9,2954.83,2601.15,2313.86,2157.38,2210.61,2250.34,1989.59,1803.94,1641.15,1638.31,1613.16
花生产量(万吨),1832.95,1830.78,1799.27,1751.96,1733.2,1709.19,1636.06,1596.13,1590.08,1610.89,1579.23,1530.24,1513.56,1460.42,1463.54,1381.48,1288.69,1434.15,1434.18,1341.99,1481.76,1441.57,1443.66,1263.85,1188.62,964.79,1013.85,1023.46,968.22,842.11,595.33,630.33,636.85
油菜籽产量(万吨),1553.14,1471.35,1404.91,1348.47,1328.12,1327.41,1312.8,1385.92,1391.43,1363.63,1340.15,1313.73,1278.81,1353.59,1240.32,1138.16,1096.61,1305.23,1318.17,1142,1055.22,1133.14,1138.06,1013.18,830.05,957.76,920.11,977.71,749.19,693.94,765.31,743.62,695.81
